AC,DE - RecName: Full
Q5Y4V9;,U7-agatoxin-Ao1a
B3A0P0;,Mu-theraphotoxin-An1a 
B6DD13;,U12-lycotoxin-Ls1a
B6DD14;,U12-lycotoxin-Ls1b
B6DD15;,U12-lycotoxin-Ls1c
B6DD16;,U12-lycotoxin-Ls1d
B6DD17;,U12-lycotoxin-Ls1a
B6DD18;,U12-lycotoxin-Ls1e
B3EWT0;,Toxin CSTX-10 
B3EWT1;,Toxin CSTX-11 
B3EWS9;,Toxin CSTX-16 
P83621;,Cupiennin-1c 
B3FIS2;,U5-theraphotoxin-Hs1a 3
B3FIS4;,U5-theraphotoxin-Hs1a 5
B3FIS5;,U5-theraphotoxin-Hs1a 6
P15967;,Mu-agatoxin-Hc1a
B3EWT5;,Toxin CSTX-20 
B3FIS6;,U5-theraphotoxin-Hs1b 1 
B3FIS7;,U5-theraphotoxin-Hs1b 2
B3EWT9;,Cupiennin-2d 
B3EWW9;,Cupiennin-6e 
B3EWX1;,Cupiennin-6f 
P0C2K7;,Phospholipase D LgSicTox-LOXN5
P0DJ82;,Kunitz-type kappaPI-theraphotoxin-Hs1c
P0DJ75;,Kunitz-type U15-theraphotoxin-Hs1a
P0DJ84;,Kunitz-type kappaPI-theraphotoxin-Hs1d
P0DJ68;,Kunitz-type U15-theraphotoxin-Hhn1k
P0DJ85;,Kunitz-type U15-theraphotoxin-Hs1f
P0DJ76;,Kunitz-type kappaPI-theraphotoxin-Hs1e
P0DJ64;,U15-Kunitz-type theraphotoxin-Hhn1b
B2ZBB8; P0DJ83;,Kunitz-type U15-theraphotoxin-Hs1a
P0DJ74;,Kunitz-type serine protease inhibitor HNTX-0109076
D2Y2G1;,Kunitz-type U15-theraphotoxin-Hhn1j
D2Y2Q1;,Kunitz-type U15-theraphotoxin-Hhn1l
D2Y2Q9;,Kunitz-type U15-theraphotoxin-Hhn1r
P0C2K8;,Phospholipase D LgSicTox-LOXN6
D2Y2F8;,Kunitz-type U15-theraphotoxin-Hhn1g
D2Y2F9;,Kunitz-type U15-theraphotoxin-Hhn1h
P0CH75;,Kunitz-type serine protease inhibitor hainantoxin F7-25.66
D2Y2F3;,Kunitz-type U15-theraphotoxin-Hhn1b
D2Y2G0;,Kunitz-type U15-theraphotoxin-Hhn1i
D2Y2F4;,Kunitz-type U15-theraphotoxin-Hhn1c
B2ZBC0;,Kunitz-type U15-theraphotoxin-Hs1c
P0DJ78;,Kunitz-type U15-theraphotoxin-Hs1a
C9D7R3;,Astacin-like metalloprotease toxin 3
P0DM61;,Astacin-like metalloprotease toxin 4
P0CAZ7;,M-zodatoxin-Lt8o
P0CAZ8;,M-zodatoxin-Lt8p
P85256; B3W6I2;,M-zodatoxin-Lt8d
P85257; B3W6I3;,M-zodatoxin-Lt8e
P0CAZ2;,M-zodatoxin-Lt8i
P85258; B3W6I4;,M-zodatoxin-Lt8f
P85254; B3W6I0;,M-zodatoxin-Lt8b
P85255; B3W6I1;,M-zodatoxin-Lt8c
P0CAZ3;,M-zodatoxin-Lt8j
C0HJV5;,Cytoinsectotoxin-3 
P0CAZ4;,M-zodatoxin-Lt8k
P85247; B3W6I6;,M-zodatoxin-Lt8h
P0CAZ5;,M-zodatoxin-Lt8l
P0CAZ6;,M-zodatoxin-Lt8m
P0CAZ9;,M-zodatoxin-Lt8q
P0DL77;,U1-theraphotoxin-Ct1a 
P0DL78;,U1-theraphotoxin-Ct1b 
P85259; B3W6I5;,M-zodatoxin-Lt8g
C0HJV3;,Cytoinsectotoxin-2a 
C0HJV4;,Cytoinsectotoxin-2c 
C0HJV6; A0A1B3Z579;,Cytoinsectotoxin-4 
P60976;,U1-nemetoxin-Csp1a
P0C2K3;,Phospholipase D LgSicTox-beta-LOXN1/LOXN7
Q5YD76;,Phospholipase D LbSicTox-betaIA1a
P83659;,Cyphokinin
P83660;,Cd-146 peptide
W4VS46;,Toxin ICK-10
W4VRV2;,Toxin ICK-11
W4VRX8;,Toxin ICK-12
W4VSI7;,Toxin ICK-13
W4VSB7;,Toxin ICK-14
W4VS32;,Toxin ICK-15
W4VRV1;,Toxin ICK-16
W4VRX3;,Toxin ICK-17
W4VSI6;,Toxin ICK-18
W4VSB2;,Toxin ICK-19
W4VRV4;,U8-barytoxin-Tl1a
W4VS23;,Toxin ICK-20
W4VRU9;,Toxin ICK-21
W4VS20;,U16-barytoxin-Tl1a
W4VRU8;,U16-barytoxin-Tl1b
W4VRW6;,U16-barytoxin-Tl1c
W4VSI4;,U16-barytoxin-Tl1d
W4VSA7;,U16-barytoxin-Tl1e
W4VRY9;,U9-barytoxin-Tl1a
W4VS15;,U16-barytoxin-Tl1c
W4VRU6;,U16-barytoxin-Tl1c
W4VRW4;,U16-barytoxin-Tl1a
W4VSI3;,U16-barytoxin-Tl1f
W4VSA5;,U16-barytoxin-Tl1f
W4VS12;,U17-barytoxin-Tl1a
W4VRU5;,U17-barytoxin-Tl1b
W4VRW1;,U17-barytoxin-Tl1c
W4VSI1;,U17-barytoxin-Tl1d
W4VSA2;,U17-barytoxin-Tl1a
W4VSI9;,U10-barytoxin-Tl1a
W4VS08;,U17-barytoxin-Tl1d
W4VRU3;,Toxin ICK-41
W4VRV7;,Toxin ICK-42
W4VSC0;,U11-barytoxin-Tl1a
W4VS49;,U11-barytoxin-Tl1b
W4VRV3;,U12-barytoxin-Tl1a
W4VRY7;,U13-barytoxin-Tl1a
W4VSI8;,Toxin ICK-8
W4VSB9;,Toxin ICK-9
P0DL59;,Mu-theraphotoxin-Phlo2a 
P0CH59;,Hainantoxin F1-31.97
P0CH77;,U4-theraphotoxin-Hhn1v
P0DL57;,Mu-theraphotoxin-Phlo1a 
P0DL58;,Mu-theraphotoxin-Phlo1b 
P13494;,Delta-hexatoxin-Hv1a 
P0C1R3;,Delta-hexatoxin-Iw1a 
P81885;,Delta-hexatoxin-Hv1b 
D2Y218;,U4-theraphotoxin-Hhn1c
D2Y2N3;,U3-theraphotoxin-Hhn1f
A0A0J9X1W9;,Mu-theraphotoxin-Hd1a 
D2Y2D4;,U4-theraphotoxin-Hhn1i
D2Y1Z3;,Mu-theraphotoxin-Hhn2j 3
D2Y1Z5;,Mu-theraphotoxin-Hhn2j 4
D2Y1Z6;,Mu-theraphotoxin-Hhn2j 4
